112, 112, 112, 60
112, 112, 128, 60
112, 112, 144, 60
112, 112, 160, 60
112, 112, 176, 60
112, 128, 112, 60
112, 128, 128, 60
112, 128, 144, 60
112, 128, 160, 60
112, 128, 176, 60
112, 144, 112, 60
112, 144, 128, 60
112, 144, 144, 60
112, 144, 160, 60
112, 160, 112, 60
112, 160, 128, 60
112, 160, 144, 60
112, 176, 112, 60
112, 176, 128, 60
112, 176, 144, 60
128, 112, 112, 60
128, 112, 128, 60
128, 112, 144, 60
128, 112, 160, 60
128, 112, 176, 60
128, 128, 112, 60
128, 128, 128, 60
128, 128, 144, 60
128, 128, 160, 60
128, 128, 176, 60
128, 144, 112, 60
128, 144, 128, 60
128, 144, 144, 60
128, 144, 160, 60
128, 160, 112, 60
128, 160, 128, 60
128, 160, 144, 60
128, 176, 112, 60
128, 176, 128, 60
128, 176, 144, 60
144, 112, 112, 60
144, 112, 128, 60
144, 112, 144, 60
144, 112, 160, 60
144, 128, 112, 60
144, 128, 128, 60
144, 128, 144, 60
144, 128, 160, 60
144, 144, 112, 60
144, 144, 128, 60
144, 144, 144, 60
144, 144, 160, 60
144, 160, 112, 60
144, 160, 128, 60
144, 176, 112, 60
144, 176, 128, 60
160, 112, 112, 60
160, 112, 128, 60
160, 112, 144, 60
160, 128, 112, 60
160, 128, 128, 60
160, 128, 144, 60
160, 144, 112, 60
160, 144, 128, 60
160, 144, 144, 60
160, 160, 112, 60
160, 160, 128, 60
176, 112, 112, 60
176, 112, 128, 60
176, 128, 112, 60
176, 128, 128, 60
176, 144, 112, 60
