192, 5.6130e+02
256, 5.4559e+02
###############
# NB, P, Q, Ns, GFLOPS
##############
# N=2, ntasks-per-node=8
#############
# NB, P, Q, Ns,
336, 128, 1, 30000, 2.7318e+02
336, 64, 2, 30000, 7.0183e+02
336, 32, 4, 30000, 1.3277e+03
336, 16, 8, 30000, 1.9884e+03
344, 128, 1, 30000, 3.6362e+02
344, 64, 2, 30000, 6.0733e+02
344, 32, 4, 30000, 1.3234e+03
344, 16, 8, 30000, 1.9292e+03
352, 128, 1, 30000, 2.8547e+02
352, 64, 2, 30000, 7.1491e+02
352, 32, 4, 30000, 1.2291e+03
352, 16, 8, 30000, 2.0297e+03
360, 128, 1, 30000, 3.4209e+02
360, 64, 2, 30000, 5.3091e+02
360, 32, 4, 30000, 1.2746e+03
360, 16, 8, 30000, 2.0623e+03
368, 128, 1, 30000, 3.8343e+02
368, 64, 2, 30000, 7.0714e+02
368, 32, 4, 30000, 1.3118e+03
368, 16, 8, 30000, 1.9582e+03
376, 128, 1, 30000, 3.5279e+02
376, 64, 2, 30000, 5.5570e+02
376, 32, 4, 30000, 1.3281e+03
376, 16, 8, 30000, 1.9662e+03
384, 128, 1, 30000, 3.0971e+02
384, 64, 2, 30000, 6.8406e+02
384, 32, 4, 30000, 1.2746e+03
384, 16, 8, 30000, 1.9035e+03
392, 128, 1, 30000, 3.1422e+02
392, 64, 2, 30000, 6.5071e+02
392, 32, 4, 30000, 1.2293e+03
392, 16, 8, 30000, 1.8253e+03
400, 128, 1, 30000, 3.0051e+02
400, 64, 2, 30000, 6.3631e+02
400, 32, 4, 30000, 1.2202e+03
400, 16, 8, 30000, 1.8499e+03
#############
# Looks like
# NB = 240
# P = 16
# Q = 8  
# at 2.2011e+03  
#
# Increasing problem size for squared values which are performing the best 
#############

160, 32, 4, 125000, 3.7644e+03
160, 16, 8, 125000, 4.6261e+03
168, 32, 4, 125000, 3.7877e+03
168, 16, 8, 125000, 4.6544e+03
176, 32, 4, 125000, 3.8146e+03
176, 16, 8, 125000, 4.7459e+03
184, 32, 4, 125000, 3.8338e+03
184, 16, 8, 125000, 4.7728e+03
192, 32, 4, 125000, 3.8433e+03
192, 16, 8, 125000, 4.8014e+03
200, 32, 4, 125000, 3.8690e+03
200, 16, 8, 125000, 4.9006e+03
208, 32, 4, 125000, 3.8895e+03
208, 16, 8, 125000, 4.9303e+03
216, 32, 4, 125000, 3.8881e+03
216, 16, 8, 125000, 4.9755e+03
224, 32, 4, 125000, 3.9295e+03
224, 16, 8, 125000, 5.0297e+03
232, 32, 4, 125000, 3.9651e+03
232, 16, 8, 125000, 5.0222e+03
240, 32, 4, 125000, 3.9390e+03
240, 16, 8, 125000, 5.0323e+03
248, 32, 4, 125000, 3.9622e+03
248, 16, 8, 125000, 5.0775e+03
256, 32, 4, 125000, 3.9083e+03
256, 16, 8, 125000, 5.0280e+03
264, 32, 4, 125000, 3.9795e+03
264, 16, 8, 125000, 5.0026e+03
272, 32, 4, 125000, 3.9602e+03
272, 16, 8, 125000, 5.0718e+03
280, 32, 4, 125000, 4.0233e+03
280, 16, 8, 125000, 5.1095e+03
288, 32, 4, 125000, 3.9494e+03
288, 16, 8, 125000, 5.0967e+03
296, 32, 4, 125000, 4.0037e+03
296, 16, 8, 125000, 5.1000e+03
304, 32, 4, 125000, 3.9694e+03
